drift,agent,label,dyn_regret_mean,dyn_regret_std,stale_ratio,mean_delay,total_firings,DES_minus_this,ci_lo,ci_hi
abrupt,A1,A1 no_switch,33.01584418371388,8.312138363909783,0.0,20.857142857142858,121,17.580998922853553,14.06510767677899,20.88879226375879
abrupt,A2,A2 no_suppression,66.98708993636704,17.102742672033962,0.09936904761904762,22.591666666666665,178,-16.39024682979963,-20.161338229340664,-12.876376123272657
abrupt,A3,A3 no_detector,66.23650309605556,17.285878561072117,0.09702380952380954,,0,-15.639659989488138,-19.678457455274874,-11.850327914382596
abrupt,A4,A4 no_bob,48.014567902958184,9.190139951504408,0.06558333333333333,19.791666666666668,152,2.5822752036092527,0.4223843304221447,4.806644620992584
abrupt,A5,A5 decay_instead,49.1722349682616,14.298543727171856,0.11439285714285714,21.816666666666666,137,1.4246081383058262,-2.1900173229535067,5.048118822313116
abrupt,A6,A6 uncertainty_gain,130.11490330957417,39.62004897847109,0.32326190476190475,17.616666666666667,850,-79.51806020300678,-89.06679355957841,-70.31033427554402
abrupt,A7,A7 switch=ucb1,97.49434849491908,37.76938708144718,0.20709523809523808,21.991525423728813,1040,-46.89750538835165,-56.24663886427787,-37.92132430405309
abrupt,DES-UCB,DES-UCB,50.59684310656742,11.017408444572789,0.06932142857142858,21.25,157,0.0,0.0,0.0
gradual,A1,A1 no_switch,27.23302218211399,6.032935335825387,0.0,260.5,98,13.731558589276599,11.124425799104756,16.252406766200437
gradual,A2,A2 no_suppression,52.65847294947163,13.387996336929936,0.13609523809523813,248.26785714285714,157,-11.693892178081038,-15.3399542987778,-8.380269676953118
gradual,A3,A3 no_detector,50.060207822255826,12.30305082615603,0.13101190476190477,,0,-9.095627050865222,-12.126247722229444,-6.572926838611787
gradual,A4,A4 no_bob,34.81113859061675,7.071514986529253,0.0931190476190476,238.6822429906542,133,6.153442180773847,4.261016170945824,8.027795876713448
gradual,A5,A5 decay_instead,37.095755718617696,10.526105840208295,0.14095238095238097,247.49532710280374,125,3.868825052772904,1.4714788517267663,6.180298834259549
gradual,A6,A6 uncertainty_gain,101.00350412504213,30.891614484723657,0.34807142857142853,162.36974789915968,713,-60.038923353651505,-67.507271368116,-52.833179220158364
gradual,A7,A7 switch=ucb1,68.07940391183801,29.096449925449434,0.1765357142857143,252.02970297029702,670,-27.114823140447438,-34.51042977711531,-20.62180916882824
gradual,DES-UCB,DES-UCB,40.9645807713906,9.517274433227923,0.11420238095238094,245.94827586206895,142,0.0,0.0,0.0
