dataset,protocol,agent,cum_precision@5,cum_precision@10,cum_precision@20,cum_precision@40,offline_regret,n_units,cum_recall@T
ml-100k,A,A2,0.6972972972972973,0.664864864864865,0.668918918918919,0.6452702702702703,13.945945945945946,37,0.24544828043750755
ml-100k,A,B1,0.7081081081081081,0.6702702702702703,0.6581081081081082,0.6418918918918919,14.324324324324325,37,0.24287264007300838
ml-100k,A,B2,0.7027027027027027,0.6864864864864865,0.6554054054054054,0.65,14.0,37,0.24674131056791734
ml-100k,A,B4,0.7081081081081081,0.6702702702702703,0.6621621621621622,0.6324324324324324,14.702702702702704,37,0.23809495658341467
ml-100k,A,B7,0.6972972972972973,0.672972972972973,0.6567567567567568,0.6331081081081081,14.675675675675675,37,0.24091415184890272
ml-100k,A,B8,0.5891891891891892,0.5972972972972973,0.585135135135135,0.575,17.0,37,0.21760344909328752
ml-100k,A,DES-UCB,0.6972972972972973,0.6864864864864865,0.6702702702702703,0.6405405405405405,14.027027027027026,37,0.24348822159678174
ml-100k,B,A2,0.9135135135135134,0.8297297297297297,0.7662162162162163,0.7013513513513513,11.945945945945946,37,0.26773856876566415
ml-100k,B,B1,0.7081081081081081,0.6945945945945946,0.6797297297297297,0.6445945945945947,14.216216216216216,37,0.24599895069534003
ml-100k,B,B2,0.9135135135135134,0.8594594594594595,0.8081081081081081,0.727027027027027,10.864864864864865,37,0.2795372839334642
ml-100k,B,B4,0.7081081081081081,0.6945945945945946,0.668918918918919,0.6344594594594595,14.621621621621621,37,0.2401663254238601
ml-100k,B,B7,0.9135135135135134,0.8621621621621621,0.8121621621621622,0.7290540540540541,10.81081081081081,37,0.28252921670131853
ml-100k,B,B8,0.5837837837837838,0.6162162162162163,0.6067567567567568,0.5695945945945946,17.216216216216218,37,0.21579250067439792
ml-100k,B,DES-UCB,0.9135135135135134,0.8378378378378378,0.7527027027027028,0.693918918918919,12.243243243243244,37,0.2647093749533135
ml-100k,C,A2,0.6972972972972973,0.654054054054054,0.6608108108108108,0.6371621621621621,14.27027027027027,37,0.24179368632396023
ml-100k,C,B1,0.7081081081081081,0.6702702702702703,0.6581081081081082,0.6418918918918919,14.324324324324325,37,0.24287264007300838
ml-100k,C,B2,0.6918918918918919,0.672972972972973,0.6567567567567568,0.6425675675675675,14.297297297297296,37,0.2436439354305668
ml-100k,C,B4,0.7081081081081081,0.6702702702702703,0.6621621621621622,0.6324324324324324,14.702702702702704,37,0.23809495658341467
ml-100k,C,B7,0.6972972972972973,0.672972972972973,0.6527027027027027,0.6270270270270271,14.91891891891892,37,0.2389202850309929
ml-100k,C,B8,0.5891891891891892,0.5972972972972973,0.585135135135135,0.575,17.0,37,0.21760344909328752
ml-100k,C,DES-UCB,0.6972972972972973,0.6702702702702703,0.6567567567567568,0.6358108108108108,14.216216216216216,37,0.23992641525540834
ml-1m,A,A2,0.7559322033898305,0.7183050847457627,0.6976271186440678,0.679406779661017,12.769491525423728,295,0.22677538621277774
ml-1m,A,B1,0.6928813559322035,0.6877966101694916,0.6857627118644068,0.6761864406779661,12.92542372881356,295,0.226397061896656
ml-1m,A,B2,0.7627118644067796,0.7359322033898305,0.708135593220339,0.6898305084745763,12.328813559322034,295,0.23049345283555656
ml-1m,A,B4,0.6928813559322035,0.6877966101694916,0.6793220338983051,0.6655084745762712,13.271186440677965,295,0.22182982380867985
ml-1m,A,B7,0.7559322033898305,0.7271186440677966,0.7006779661016949,0.6785593220338983,12.810169491525423,295,0.22609334495693506
ml-1m,A,B8,0.6122033898305085,0.6230508474576272,0.6152542372881356,0.6147457627118644,15.410169491525425,295,0.20386212181377794
ml-1m,A,DES-UCB,0.7559322033898305,0.72,0.6979661016949152,0.6742372881355932,12.989830508474576,295,0.2248999392167779
ml-1m,B,A2,0.8827118644067796,0.8145762711864407,0.7708474576271187,0.722457627118644,10.847457627118644,295,0.24257939246900856
ml-1m,B,B1,0.712542372881356,0.7064406779661017,0.7077966101694916,0.6838983050847458,12.501694915254237,295,0.22944797665586775
ml-1m,B,B2,0.8833898305084746,0.8423728813559322,0.8045762711864407,0.7496610169491525,9.664406779661016,295,0.2513477061576799
ml-1m,B,B4,0.712542372881356,0.7064406779661017,0.7030508474576271,0.6751694915254237,12.844067796610169,295,0.2263337342033719
ml-1m,B,B7,0.8827118644067796,0.844406779661017,0.8050847457627118,0.7458474576271187,9.786440677966102,295,0.24996793393133707
ml-1m,B,B8,0.6406779661016949,0.6372881355932203,0.6371186440677966,0.6072881355932204,15.640677966101695,295,0.20142612133094145
ml-1m,B,DES-UCB,0.8827118644067796,0.8179661016949152,0.7672881355932203,0.7185593220338983,10.986440677966101,295,0.2412590949832491
ml-1m,C,A2,0.7505084745762712,0.7179661016949153,0.6976271186440678,0.6783050847457627,12.789830508474576,295,0.2263166322395829
ml-1m,C,B1,0.6928813559322035,0.6877966101694916,0.6857627118644068,0.6761864406779661,12.92542372881356,295,0.226397061896656
ml-1m,C,B2,0.7505084745762712,0.7369491525423729,0.7045762711864406,0.6865254237288135,12.413559322033898,295,0.2292504220637687
ml-1m,C,B4,0.6928813559322035,0.6877966101694916,0.6793220338983051,0.6655084745762712,13.271186440677965,295,0.22182982380867985
ml-1m,C,B7,0.7505084745762712,0.728135593220339,0.6989830508474576,0.6749152542372882,12.874576271186442,295,0.2251181344879417
ml-1m,C,B8,0.6122033898305085,0.6230508474576272,0.6152542372881356,0.6147457627118644,15.410169491525425,295,0.20386212181377794
ml-1m,C,DES-UCB,0.7505084745762712,0.7210169491525423,0.6949152542372882,0.675,12.91864406779661,295,0.22593953058853913
mind,chrono,A2,0.11489361702127661,0.12021276595744682,0.12287234042553193,,17.54255319148936,94,
mind,chrono,B1,0.11702127659574468,0.13404255319148936,0.1377659574468085,,17.24468085106383,94,
mind,chrono,B2,0.12127659574468086,0.1276595744680851,0.12978723404255318,,17.404255319148938,94,
mind,chrono,B4,0.11702127659574468,0.13617021276595745,0.1271276595744681,,17.45744680851064,94,
mind,chrono,B7,0.10212765957446808,0.11063829787234043,0.11436170212765957,,17.71276595744681,94,
mind,chrono,B8,0.11914893617021277,0.11170212765957446,0.11436170212765957,,17.71276595744681,94,
mind,chrono,DES-UCB,0.11702127659574468,0.12872340425531914,0.12659574468085108,,17.46808510638298,94,
