knob,value,tag,regret_DES-UCB,regret_A2,regret_B2,regret_B4,stale_DES,stale_A2,DES_minus_A2,ci_lo,ci_hi
p_mismatch,0.0,pre_drift=F,54.795458273660856,58.33533068724038,131.62245117409222,35.77358853136293,0.04566666666666667,0.04916666666666667,-3.5398724135795243,-5.611479654451095,-1.6625022560461418
p_mismatch,0.2,pre_drift=F,61.88884132747084,67.59833997470088,148.86112072236872,35.77358853136293,0.043611111111111114,0.04916666666666667,-5.709498647230058,-8.069041164929821,-3.411528032009671
p_mismatch,0.5,pre_drift=F,65.82616502995491,73.44919841032569,157.67020693366405,35.77358853136293,0.042444444444444444,0.04916666666666667,-7.623033380370812,-10.156172988449766,-5.0532076967107065
p_mismatch,0.8,pre_drift=F,75.40243126104852,85.09140548908736,175.13607791142186,35.77358853136293,0.04044444444444444,0.049138888888888885,-9.688974228038852,-12.953531727841733,-6.839513926098471
magnitude,0.25,pre_drift=F,36.75426177704549,36.59817361670845,44.09377738458312,20.242335875296696,0.04938888888888889,0.04916666666666667,0.15608816033704861,-1.2767681812836955,1.4652980924487338
magnitude,0.5,pre_drift=F,41.797874428349594,42.126304162829136,65.8388614761737,24.323689740964305,0.04833333333333334,0.04916666666666667,-0.32842973447954804,-1.9175163320174908,1.1203744315270876
magnitude,1.0,pre_drift=F,54.795458273660856,58.33533068724038,131.62245117409222,35.77358853136293,0.04566666666666667,0.04916666666666667,-3.5398724135795243,-5.611479654451095,-1.6625022560461418
magnitude,2.0,pre_drift=F,84.18208725123252,98.90923647066032,259.0910321556738,62.22370903334786,0.03894444444444445,0.04916666666666667,-14.727149219427812,-19.5143667626618,-10.028311561013536
magnitude,0.25,pre_drift=T,15.70923204153018,15.350651100983175,9.28206560575892,20.242335875296696,0.32025000000000003,0.3596944444444445,0.3585809405470085,-0.7560845017499942,1.4237644002371146
magnitude,0.5,pre_drift=T,22.696587451321793,23.893753749432587,31.412249685829117,24.323689740964305,0.15058333333333335,0.19075000000000003,-1.1971662981107856,-3.2294552541942942,0.7314068051169121
magnitude,1.0,pre_drift=T,37.5014750467151,45.05804778173983,99.01301189479844,35.77358853136293,0.08288888888888887,0.12930555555555553,-7.556572735024727,-11.544254100669098,-3.978625686321733
magnitude,2.0,pre_drift=T,72.75262230345925,100.94797855305042,228.23820625797583,62.22370903334786,0.057499999999999996,0.11405555555555555,-28.195356249591224,-38.253150836566256,-19.739814485811145
sigma_prior,0.05,pre_drift=T,37.00523268623202,45.82130757347069,98.56740677315535,35.77358853136293,0.08872222222222223,0.14180555555555557,-8.816074887238685,-13.299196537794662,-4.703331135842533
sigma_prior,0.1,pre_drift=T,37.5014750467151,45.05804778173983,99.01301189479844,35.77358853136293,0.08288888888888887,0.12930555555555553,-7.556572735024727,-11.544254100669098,-3.978625686321733
sigma_prior,0.3,pre_drift=T,39.94649023201096,44.55680559036189,104.01103586865197,35.77358853136293,0.05275,0.06566666666666668,-4.610315358350925,-7.02610349123604,-2.2767424929088187
sigma_prior,1.0,pre_drift=T,50.52807802005038,56.21768863440964,137.88488605095785,35.77358853136293,0.042555555555555555,0.049138888888888885,-5.689610614359249,-7.966482281320009,-3.446454145624713
burn_in_B,0.0,pre_drift=T,38.6413606741161,45.05804778173983,99.01301189479844,35.77358853136293,0.09275,0.12930555555555553,-6.4166871076237415,-10.33905825982969,-2.917548574840684
burn_in_B,10.0,pre_drift=T,39.073058172956905,45.05804778173983,99.01301189479844,35.77358853136293,0.08972222222222223,0.12930555555555553,-5.98498960878292,-10.11178000857027,-2.3274704038508833
burn_in_B,30.0,pre_drift=T,37.5014750467151,45.05804778173983,99.01301189479844,35.77358853136293,0.08288888888888887,0.12930555555555553,-7.556572735024727,-11.544254100669098,-3.978625686321733
burn_in_B,100.0,pre_drift=T,36.97894303289163,45.05804778173983,99.01301189479844,35.77358853136293,0.07061111111111111,0.12930555555555553,-8.0791047488482,-12.072205656734946,-4.56877772727871
beta,0.1,pre_drift=T,36.5206495991411,44.462228045447624,100.91985021824283,34.962509136950935,0.08299999999999999,0.1266111111111111,-7.941578446306503,-11.938639013000232,-4.22767808673471
beta,0.25,pre_drift=T,36.166382538770556,44.15845590039923,100.3390515781349,34.495850404912595,0.08188888888888889,0.12783333333333333,-7.992073361628667,-12.091188432409178,-4.168326137581374
beta,0.5,pre_drift=T,37.5014750467151,45.05804778173983,99.01301189479844,35.77358853136293,0.08288888888888887,0.12930555555555553,-7.556572735024727,-11.544254100669098,-3.978625686321733
beta,1.0,pre_drift=T,42.573368675888,50.77029945897529,97.50936727390625,41.39620166011001,0.08299999999999999,0.1285,-8.196930783087277,-12.162732229661822,-4.76325597960999
beta,2.0,pre_drift=T,67.85604245730887,76.03095636901065,94.54414831734226,68.40929408496588,0.08516666666666667,0.14033333333333334,-8.174913911701795,-12.240414497858595,-4.503492492246595
